"","Мхи"
"DuneTop1",0
"DuneTop2",0
"DuneTop3",0
"DuneTop4",0
"DuneTop5",0
"DuneTop6",0
"DuneTop7",0
"DuneTop8",0
"DuneTop9",0
"DuneTop10",0
"LeeSlo1",0
"LeeSlo2",0
"LeeSlo3",0
"LeeSlo4",0
"LeeSlo5",0
"LeeSlo6",0
"LeeSlo7",0
"LeeSlo8",0
"LeeSlo9",0
"LeeSlo10",0
"InterLow1",5
"InterLow2",5
"InterLow3",15
"InterLow4",5
"InterLow5",10
"InterLow6",5
"InterLow7",5
"InterLow8",7
"InterLow9",30
"InterLow10",5
"WindSlo1",0
"WindSlo2",0
"WindSlo3",0
"WindSlo4",0
"WindSlo5",0
"WindSlo6",0
"WindSlo7",0
"WindSlo8",0
"WindSlo9",0
"WindSlo10",0
"YoungF1",56
"YoungF2",76
"YoungF3",5
"YoungF4",115
"YoungF5",75
"YoungF6",50
"YoungF7",45
"YoungF8",60
"YoungF9",85
"YoungF10",81
"MatureF1",2
"MatureF2",7
"MatureF3",15
"MatureF4",27
"MatureF5",12
"MatureF6",12
"MatureF7",15
"MatureF8",13
"MatureF9",10
"MatureF10",20
"ClimaxF1",110
"ClimaxF2",120
"ClimaxF3",138
"ClimaxF4",83
"ClimaxF5",100
"ClimaxF6",130
"ClimaxF7",74
"ClimaxF8",55
"ClimaxF9",66
"ClimaxF10",57
